Japanese,Vietnamese
私が知る限り、彼はいいやつだ。,như tôi đã biết thì anh ta thật sự là một chàng trai tốt bụng .
いつもあのお店は混んでいるけど、今日は席をリザーブしてあるから大丈夫。,cửa hàng đó lúc nào cũng đông nhưng tôi đã đặt chỗ trước nên không sao đâu .
私たちは物価を注目しなかった。,chúng tôi đã không quan tâm về vật giá .
あの日をよく覚える。,tôi nhớ rõ ngày đó .
彼は本当に頭のよい子だ。,thằng nhóc thực sự là một đứa trẻ thông minh .
あぁ私の白いズボンが！新しいのに。,kìa mấy cái quần trắng của mình ! vẫn còn mới !
私を見て。,nhìn tôi này .
トムはボストンへの切符2枚が必要です。,Tom cần 2 vé để đi Boston .
くじで誰が勝つか決めよう。,chúng ta hãy bỏ phiếu để quyết định người thắng cuộc .
私は海の近くに住んでいるのでよく海岸に行きます。,tôi ở gần biển cho nên có nhiều cơ hội đi ra biển chơi .
私は日曜日に教会に行く。,tôi đi lễ nhà thờ vào ngày Chủ Nhật .
明日までにパーティーの準備を終えなければなりません。,cho đến sáng mai phải chuẩn bị xong bữa tiệc .
私は動物園に行った。,tôi đã tới vườn thú .
あの歌が頭から離れないんだ。,tôi không bỏ bài hát đó ra khỏi đầu được .
いつもあのお店は混んでいるけど、今日は席をリザーブしてあるから大丈夫。,cửa hàng đó lúc nào cũng đông nhưng tôi đã đặt chỗ trước nên không sao đâu .
みんなから近寄りがたいってよく言われます。,mọi người thường nói tôi khó gần .
彼は床に座っていた。,anh ta ngồi lên giường .
もっと文をドイツ語に翻訳してみよう。,chúng ta hãy tiếp tục dịch sang tiếng Đức nào .
バカな質問があるんだ。,tôi cần hỏi một câu hỏi ngớ ngẩn .
明日帰ったら電話します。,toi se goi ho ngay mai .
あなたはどれくらいの睡眠時間が必要ですか。,bạn cần bao nhiêu tiếng đồng hồ để ngủ vậy ?
あなたの用意が出来次第出発しましょう。,khi nào bạn chuẩn bị xong chúng ta sẽ xuất phát nhé .
彼女は息子がひどい扱いを受けたと憤慨していた。,cô ta phẫn nộ vì con mình bị đối xử tệ bạc .
その噂は本当だと信じられている。,người ta tin rằng lời đồn đại này là thật .
それを建てるのに何年もかかった。,người ta đã mất nhiều năm để xây nó .
何に使うの？,dùng để làm gì ?
靴が小さすぎるから新しいのを買う必要があるな。,"giày của tôi bé quá , tôi cần đôi mới ."
ある日曜日の朝、ジョージは自宅の居間に乱入するやいなやこう言った。,"một buổi sáng Chủ Nhật , Josh xâm nhập vào phòng khách nhà người ta và nói những điều ấy ."
私は肉体労働には向いていない。,tôi không hợp với việc làm chân tay .
変わりない？,có gì mới không ?
彼らが先週忙しかったですか。,tuần trước họ bận à ?
この不良少女をどうしよう。,chúng ta phải làm gì với nữ phạm nhân này ?
お父さん、何してるの？,"bố ơi , bố đang làm gì thế ?"
勉強は出来る。あなたが何歳だとしても。,việc học là có thể bất kể tuổi tác của bạn .
もう～、なにやってんだよ。,"Ê , làm gì vậy ?"
私は犬よりも猫が好きです。,mình thích mèo hơn chó .
君がもう一度彼に頼んだら、彼も気が変わるかもしれない。,"nếu bạn nhờ anh ấy lần nữa , biết đâu anh ấy sẽ đổi ý ."
あした電話でご連絡いたします。,ngày mai tôi sẽ liên lạc với bạn qua điện thoại .
星は彼女の上で輝き・・・。,những ngôi sao lấp lánh trên cô ấy ...
「もし疲れているなら寝たらどう？」　「僕が今寝たらあまりに早く目覚めてしまうから。」," nếu mệt thì ngủ một chút đi ?  "" bây giờ mà ngủ thì sẽ dậy sớm lắm . """
ちょっと・・・なに通せんぼやってんのよ。,này ! bạn đang làm con đường bị tắc nghẽn đấy !
彼はクラスの他のどの少年よりも速く泳げる。,anh ta có thể bơi nhanh hơn bất kì nam sinh nào trong lớp .
船は明日の朝ホノルルを出る。,con Tàu sẽ rời khỏi Honolulu vào ngày mai
彼がどこに住んでいるか正確に教えてください。,xin hãy cho tôi biết địa chỉ chính xác nơi ở của anh ấy .
冬は私の一番好きな季節です。,mùa đông là mùa tôi thích nhất .
彼は信用できない。,không thể tin anh ta được .
彼女は２０年早く生まれていたらよかったのにと思った。,cô ta ước mình sinh ra sớm hơn 20 năm .
魚は水の外では生きられない。,cá không thể sống mà không có nước .
たまたま私達はロンドンに滞在していた。,tình cờ chúng tôi lưu lại ở London .
この靴をどう思う？,bạn thấy đôi giày này thế nào ?
母は変わり者です。,mẹ tôi là người lập dị .
あなたはいつからラテン語を勉強しましたか。,anh học tiếng La - tinh từ bao giờ ?
結局は誰でも自分で学ぶしかない。,"rốt cuộc , ai cũng phải tự học thôi ."
彼は何の苦も無く川を泳いで渡った。,anh bơi qua con sông với không một chút khó khăn .
お前なんでいつもそんな偉そうなの？,sao mày lúc nào cũng có vẻ hách dịch vậy ?
今日海岸に行こうと思っていたのに雨が降ってきた。,tôi tính đi ra biển chơi nhưng trời lại bắt đầu mưa .
他にどんな選択肢があるの？,tôi còn có sự chọn lựa nào khác nữa ?
「これが探していたものだ」と彼は叫んだ。, đây đúng là thứ mà tôi đang tìm  anh ta kêu lên .
どうやら食べ過ぎたみたいだ。,có vẻ như tôi đã ăn quá nhiều .
その日は雨が終日降ったりやんだりしていました。,hôm đó trời cứ mưa rồi lại hết cả ngày .
彼らはフェンスを緑色に塗った。,anh ta sơn hàng rào màu xanh lá .
私はほかならぬ大統領に会った。,tôi đã gặp mặt chính ngài tổng thống .
健康には注意すべきです。,bạn nên chú ý đến sức khỏe của bản thân .
ご注目下さい。,hãy chú ý !
待つしかない。,tôi chỉ còn chờ đợi được thôi .
「気分はどうですか。」と彼は尋ねた。, bạn thấy sao ?  anh ấy hỏi .
何か私にできることがありましたらお知らせ下さい。,cần gì thì cứ việc nói với tôi .
あなたがこの本の著者ですか？,bạn có phải là tác giả của cuốn sách này không ?
たまたま私達はロンドンに滞在していた。,tình cờ chúng tôi lưu lại ở London .
私のチョコレートを食べることを考えさえしないで。,đừng nghĩ là ăn sôcôla của tôi được nghe !
アメリカ旅行のよい記念になりました。,cái này sẽ là một kỷ niệm tốt của cuộc du ngoạn xung quanh nước Mỹ .
はぁ・・・（汗）、それでコンタクトは取れるようになったのかしら・・・？,ờ ... cái đó sao rồi ?
彼は書類を弁護士に預けた。,anh ta đã giao hồ sơ cho luật sư .
彼はその家から出てくるところを見られた。,anh ta có thể bị nhìn thấy khi ra khỏi nhà .
彼は完全に間違っていた。,anh ta hoàn toàn sai rồi .
静かに！,trật tự !
お前なんでいつもそんな偉そうなの？,sao mày lúc nào cũng có vẻ hách dịch vậy ?
午後６時にうかがって、あなたの都合はよろしいでしょうか。,có tiện cho bạn nếu tôi đến lúc 6 giờ chiều không ?
油断も隙もない奴だ。,không thể lơ là tên đó một phút nào hết .
我々はその自動車メーカーに部品を供給している。,chúng tôi cung cấp phụ tùng cho nhà sản xuất xe hơi
さくらんぼは6～7月が旬だ。,mùa anh đào ra quả là từ tháng 6 đến tháng 7 .
また後でかけ直していただけませんか？,bạn có thể gọi lại được không ?
どこに行きますか？,bạn đi đâu đấy ?
彼女はいつも流行の服を着ている。,cô ấy luôn mặc quần áo sành điệu .
彼は床に座っていた。,anh ta ngồi lên giường .
彼は危うく溺死するところだった。,anh ấy suýt chút nữa thì chết đuối .
最終成績に関しては、君の最終試験によります。,thành tích cuối cùng của bạn tùy thuộc vào bài kiểm tra cuối cùng .
君の愚痴はもう聞きたくないよ。,tôi không muốn nghe thêm bất kì lời than vãn nào từ cậu nữa .
警察はあなたに弾丸をみつけさせるでしょう。,cảnh sát sẽ bắt bạn tìm ra mấy viên đạn .
彼は実行力のある人です。,anh ta là người năng động .
最近、太ってきました。,tôi gần đây đang lên cân .
男がその部屋に入るのが見えた。,tôi đã trông thấy người đàn ông đó vào phòng .
あのうわさは本当かしら。,không biết tin đồn ấy có chính xác không nữa .
先生は横になっているように言われた。,bác sĩ bảo tôi nằm xuống .
私は招待書を受け取りました。,tôi đã nhận được giấy mời .
我々はその計画を実行しなければならない。,chúng ta phải thực hiện kế hoạch đó .
私は自由だと感じている。,tôi cảm thấy mình rất tự do .
女性が何かを書き留めている。,một người phụ nữ đang ghi chép lại một cái gì đó .
誰がラジウムを発見したのですか。,ai phát hiện ra nguyên tố Radium vậy ?
私のことを凡人だと思うのはやめて！,"đừng coi tôi như người "" bình thường "" !"
彼はとても親切だ！,nó rất tốt .
そこに一日中ただ立っているつもりかい？,cậu định đứng đó cả ngày hay sao ?
また雨だ。,lại mưa rồi .
トムは面食いだ。,Tom chỉ thích gái đẹp thôi .
ねぇ私に話してよ、トラング。,thôi nào ! nói chuyện với mình đi Trang .
彼はすべてを明らかにして潔く責任を取るべきです。,anh ấy nên làm rõ mọi chuyện và nhận trách nhiệm như một người đàn ông .
ジョージが来るかどうか知りません。,tôi không biết George có đến hay không .
禁煙席をお願いします。,xin cho tôi ghế không hút thuốc
猫が机の上に座る。,con mèo ngồi ở trên bàn
それじゃまた明日。,hẹn mai gặp bạn .
彼等はテレビを見ていた。,lúc đó họ đang xem TV.
放課後クラブ活動に残る子供が多い。,có nhiều đứa trẻ ở lại trường để tham gia các hoạt động ngoại khóa .
私は彼がいつパリから帰って来るのか知らない。,tôi không biết anh ấy từ Pháp về khi nào .
このジャケットは気に入らない。,tôi không hài lòng với bộ áo khoác này .
もっと時間が必要だ。,tôi cần thêm thì giờ .
私たちは、今日はどこにも行かない。,hôm nay chúng mình không đi đâu cả .
まだ持ってるか分からないなあ。,không biết là tôi còn không nữa .
君が側にいてくれれば何もいらない。,có em bên cạnh thì bây giờ mọi thứ đều ổn cả rồi .
すみません、お塩を取っていただけませんか？,làm phiền bạn lấy giùm tôi lọ muối được không ?
日本を離れて十年になる。,đã 10 năm kể từ khi tôi rời Nhật Bản .
今日の私は、ひとえに両親のおかげです。,"nếu không có sự giúp đỡ từ ba mẹ , con sẽ không được như ngày hôm nay ."
私は結婚していて子どもが二人いる。,tôi có chồng và hai đứa con .
彼は１年目で大学を辞めた。,anh ta nghỉ học lúc học năm nhất đại học .
席は全部ふさがっている。,tất cả những chiếc ghế đều đã có người ngồi rồi .
冷蔵庫の中にバターが２ポンドある。,trong tủ lạnh có 2 pound bơ .
その町に着くとすぐ、彼はまっすぐ彼女に会いに行った。,"vừa mới đặt chân tới ngôi làng , anh ta liền đi gặp cô ấy ."
彼はその結果に満足した。,anh ta hài lòng với kết quả đạt được .
あ、雪だ！,"A , tuyết rơi kìa !"
私のせいじゃない！,không phải lỗi của tôi !
雨らしい。,giống như mưa vậy .
彼女の思考回路がまったく理解できない。,tôi hoàn toàn không thể hiểu cách suy nghĩ của cô ấy .
悪天候のため、出発できなかった。,vì thời tiết xấu tôi đã không thể xuất phát .
あれ？あなたまだここにいたのね！,"này , này , bạn còn ở đó không ?"
火を消すのを忘れるな。,đừng quên dập lửa .
私は彼が野球をするのを見た。,tôi đã xem anh ấy chơi bóng chày .
君が来るかどうかは私にとってはどうでもよいことだ。,bạn có đến hay không đối với tôi không quan trọng .
「気分はどうですか。」と彼は尋ねた。, bạn thấy sao ?  anh ấy hỏi .
彼女はゆっくりと前進した。,cô ta từ từ tiến về phía trước .
私は家に帰る途中でにわか雨にあいました。,tôi gặp phải một cơn mưa rào khi đang đường về nhà .
何を言ってるの！,bạn nói gì đấy ?
私が格好いいと思いますか。,bạn có nghĩ tôi ngầu không ?
その少年は注目されたくて髪を染めた。,chàng trai đó đã nhuộm tóc vì muốn được chú ý .
映画に行きたいような気がしない。その代わり散歩をしよう。,"tôi không có hứng đi xem phim , hay là chúng ta đi dạo đi ."
彼女はいつも流行の服を着ている。,cô ấy luôn mặc quần áo sành điệu .
犬はどこだろう？,chó mô rồi ?
このシステムには、保護回路が組み込まれています。,"với hệ thống này , mạch bảo vệ đã được tích hợp ."
私はそうは思いません。,tôi không nghĩ như vậy .
その車は壁にぶつかった。,cái xe đã đụng vô tường .
この前会ってからずいぶん経ちましたね。,đã lâu rồi tôi chưa gặp mặt anh .
アイザック・ニュートンは近代科学の祖とたびたび言われるが、彼の晩年はもっぱら錬金術を研究していた。,"Isaac Newton thường xuyên được gọi là cha đẻ của nền khoa học hiện đại , nhưng những năm tháng cuối đời ông lại được dành hết để nghiên cứu về thuật giả kim ."
こちらにご注目ください。,hãy chú ý chỗ này !
本当？,thật à ?
彼らが先週忙しかったですか。,tuần trước người ta bận à ?
私は結婚していて子どもが二人いる。,tôi có chồng và hai đứa con .
負けない！,tôi không thua đâu !
あなたは彼女をパーティーに招待するつもりですか。,bạn có định rủ cô ấy đi tiệc không ?
パリは世界で最も美しい街である。,Paris là một thành phố đẹp nhất thế giới .
私はこれで４年間ずっとフランス語を学んでいる。,"cho đến bây giờ , tôi đã học tiếng Pháp suốt 4 năm ."
りんごを食べています。,tôi đang ăn táo .
妹の誕生日に真珠のネックレスを贈った。,tôi tặng em gái tôi dây chuyền châu vào ngày sinh nhật của nó .
お誕生日はいつですか。,sinh nhật của anh ngày nào vậy ?
決して学ぶのに遅すぎるということはない。,không bao giờ trễ quá để học hỏi .
「ママ、ビスケット食べてもいいでしょ」「だめです。間食はいけません」," má , con có thể ăn một miếng bánh quy được không ?  "" không . con không nên ăn giữa bữa ăn . """
お誕生日はいつですか。,sinh nhật của anh ngày nào vậy ?
もし電気がないと、私たちの暮らしがどのようなものになるか想像できますか。,bạn có thể hình dung được cuộc sống sẽ như thế nào nếu không có điện không ?
彼は私の隣に住んでいる。,anh ấy sống ở bên cạnh nhà tôi .
理論上、理論と実行の間には何の違いもないが、実際上違いはあるものだ。,"có thuyết cho là lý thuyết không khác gì với thực hành , nhưng trong thực hành thì lại có khác ."
「訓練と戦闘以外の仕事で、特殊部隊は何をする？」「訓練」。," ngoài công tác huấn luyện và chiến đấu , những lực lượng đặc nhiệm làm gì ?  "" huấn luyện "" ."
一、二、三、四、五、六、七、八、九、十。,"một , hai , ba , bốn , năm , sáu , bảy , tám , chín , mười ."
静かに！,trật tự !
さっきメアリーが君を探していたよ。,vừa nãy Mary tìm bạn đấy .
雨はいつ降り始めましたか。,khi nào mưa vậy ?
ドアを開けたままにしておくな。,đừng để cửa ngỏ .
彼女 に待って いる,tôi đang đợi bạn gái của tôi .
あなたの用意が出来次第出発しましょう。,khi nào bạn chuẩn bị xong chúng ta sẽ xuất phát nhé .
彼女は進歩している。,cô ấy đang tiến bộ .
バスはここに停まりますか,xe buýt có dừng ở đây không vậy ?
誰にでも長所と短所がある。,người nào cũng có cái hay và cái dở của họ .
うん。,Ừ .
彼はギターを弾くことができる。,anh ta có thể chơi được ghita .
女性が何かを書き留めている。,một người phụ nữ đang ghi chép lại một cái gì đó .
あれは私のCDです。,đó là đĩa CD của tôi .
ここに来な。,lại đây nào .
彼は本当に頭のよい子だ。,thằng nhóc thực sự là một đứa trẻ thông minh .
私は犬よりも猫が好きです。,mình thích mèo hơn chó .
彼は私の助言を求めた。,anh ấy xin lời khuyên của tôi .
彼は牛と馬を飼育している。,anh ta nuôi bò và ngựa .
彼はお金に困っている。,anh ấy đang cần tiền .
まだ晴れている間に洗濯をしなければなりません。,tôi phải giặt đồ trong khi trời còn nắng .
ちょっと休みたい。,tôi muốn nghỉ một chút .
私の生きているうちに共産主義が効力を持つことは無いだろう。,cộng sản sẽ chẳng bao giờ tồn tại đến đời của tôi .
彼は以前はたくさんの文章を読んだものだ。,trước đây anh ấy từng đọc rất nhiều .
彼は遅れないように早く出発した。,"để không bị muộn , anh ta đã xuất phát sớm ."
赤外線や紫外線は、人の目には見えない光である。,tia tử ngoại và tia hồng ngoại là loại ánh sáng mắt người không nhìn thấy được .
こんな寒い日にコートなしでは出かけたくない。,tôi không muốn ra ngoài vào ngày trời lạnh thế này mà không có áo choàng .
私にはちんぷんかんぷんでした。,tôi nghe toàn tiếng thổ dân .
とても楽しい午後でした。,thật là một buổi chiều thú vị .
私が格好いいと思いますか。,bạn có nghĩ tôi bảnh không ?
私は車を運転できるが、トムはできない。,"tôi biết lái xe ô - tô , nhưng Tom thì không ."
それは最近の写真？,tấm hình này có mới không ?
ええ。,ờ .
何を話しているの？,bạn đang nói cái gì vậy ?
彼は入学試験に合格したことを自慢した。,anh ta tự hào vì đã thi đỗ kì thi nhập học .
私はこのラケットを２ヶ月前に買った。,tôi mua cái vợt này 2 tháng trước .
お金を稼ぎたいならアメリカが一番だ。,sống ở Mỹ rất thích nếu là ở đây để kiếm tiền .
さくらんぼは6～7月が旬だ。,mùa anh đào ra quả là từ tháng 6 đến tháng 7 .
彼は、私がちょうど家を出ようとしたときに到着した。,anh ấy đã đến lúc tôi vừa định đi ra khỏi nhà .
早起きしたほうが良い。,bạn nên dậy sớm .
雨は雪に変わった。,mưa chuyển thành tuyết .
彼女が美人だと思っているのは私たちだけだ。,chỉ mình chúng tôi thấy cô ấy đẹp .
彼は書類を弁護士に預けた。,anh ta đã giao hồ sơ cho luật sư .
明日図書館で勉強するつもりです。,ngày mai tôi sẽ học ở thư viện .
その知らせに彼女は青ざめた。,"lúc nghe được tin đó , mặt cô ấy tái xanh ."
堅い書き物は大嫌いだ。,tôi rất ghét phải viết theo khuôn mẫu !
彼はクラスの他のどの少年よりも速く泳げる。,anh ta có thể bơi nhanh hơn bất kì nam sinh nào trong lớp .
彼女は生徒達との関係がとてもうまくいっている。,cô ấy có mối quan hệ tốt với các học sinh .
除夜の爆竹は、結婚式の爆竹のようである。,pháo nổ giao thừa như pháo cưới .
彼は芸能界に精通している。,anh ta tinh thộng giới nghệ sĩ .
私は歩いて行きます。,tôi sẽ đi bộ .
ブラウンさんとお話させて戴く事はできますか？,có thể cho tôi nói chuyện với ông Brown được không ?
何でこんなに遅くまで起きてるの？,bạn làm gì mà thức khuya quá vậy ?
彼は天才かもしれない。,anh ấy có thể là một thiên tài .
この分析では次の結果が出ている。,bản phân tích này đưa ra kết quả sau đây .
彼は英語を話すのがとても苦手だ。,cậu ấy nói tiếng Anh tệ thật .
そのことを後悔しながら余生を送りたくない。,tôi không muốn cả đời hối tiếc vì chuyện này .
あなたの唇は赤いです。,môi bạn đỏ quá .
メリークリスマス！,chúc mừng giáng sinh !
秘書にその手紙をタイプさせた。,tôi giao cho thư kí đánh bức thư đó .
明日授業があります。,tôi có lớp ngày mai .
わたしがいなくて淋しいと思った？,có nhớ tôi không ?
おいしいもの食べてるときが何より幸せ。,không có gì sướng bằng được ăn đồ ăn ngon .
雪が降る。,tuyết rơi .
この騒音にはがまんできない。,tôi không thể chịu đựng tiếng ồn này thêm nữa
彼女は子供のように単純だ。,cô ta có một tâm hồn giản đơn như một đứa trẻ .
何を言ってるの！,bạn nói gì thế ?
ちょっと休みたい。,tôi muốn nghỉ một chút .
買い物に行かなければならない。一時間で戻るよ。,tôi đi mua sắm một chút . một tiếng sau trở lại .
理論を実践と結び付けることが重要である。,cần phải kết hợp giữa lý thuyết và thực hành .
殺人犯は有罪判決を受けて終身刑に処せられた。,thằng giết người bị xử tù chung thân .
君にはうんざりしたよ。,tôi chán ngấy anh rồi .
あなたのアドバイスにはいつも助けられています。,lời khuyên của bạn luôn luôn hữu ích đối với tôi .
ラジオの音が大きすぎる。少し小さくしてくれませんか。,âm lượng radio lớn quá . bạn bật nhỏ lại một chút được không ?
男性は色っぽい女性が大好きなのです。,đàn ông thích phụ nữ gợi cảm .
やらなければならない事がありすぎる！,có nhiều thứ để làm quá !
つまらない試合に飽きてきた。,tôi nản cái trận đấu nhàm chán này lắm rồi .
あのうわさは本当かしら。,không biết tin đồn ấy có chính xác không nữa .
これは雨に濃いではないのだろうか？,không phải là có mưa thì trời sẽ tối à ?
彼女は２０年早く生まれていたらよかったのにと思った。,cô ta ước mình sinh ra sớm hơn 20 năm .
さっきメアリーが君を探していたよ。,vừa nãy Mary tìm bạn đấy .
トムがどこに住んでいるか分かった。,tôi biết Tom sống ở đâu .
彼が試験に受かるのは間違いない。,tôi chắc chắn anh ta sẽ làm bài kiểm tra .
はい。これならそらで歌えます。,"vâng , tôi có thể hát thuộc lòng bài này ."
彼は英語を話すのがとても苦手だ。,cậu ấy nói tiếng Anh tệ thật .
おばさんがバースデープレゼントを送ってきた。,tôi tặng dì quà sinh nhật .
お客様がたくさんいます。その中で先生のクラスメートと友達が多いです。,"có rất khách , phần lớn bọn họ là bạn bè và bạn cùng lớp của thầy giáo ."
遠くの兄弟より、良き隣人。,"bán anh em xa , mua láng giềng gần ."
あなたは前もってそれを彼に話す方がよい。,bạn tốt hơn nên nói chuyện với anh ta trước .
彼はあなたをとても愛しています。,anh ta rất yêu bạn .
私は引っ越してきたばかりです。,tôi vừa mới chuyển nhà .
「ママ、ビスケット食べてもいいでしょ」「だめです。間食はいけません」," má , con có thể ăn một miếng bánh quy được không ?  "" không . con không nên ăn giữa bữa ăn . """
同性愛者ですが何か？それが犯罪だとでも？,bị gay thì sao ? cái đó cũng là tội à ?
私は彼の威嚇をぜんぜん怖くない。,tôi hoàn toàn không sợ những sự đe dọa của hắn .
あれは私のCDです。,đó là đĩa CD của tôi .
こっちに明かりをむけてくれないか。,xoay đèn lại hướng này giùm .
全国民がそのニュースを聞いて喜んだ。,toàn thể dân tộc vui mừng khi nghe tin ấy .
今日の午後三時に彼女と会うことになっている。,tôi đã hẹn gặp cô ấy lúc ba giờ chiều nay .
あなたは前もってそれを彼に話す方がよい。,bạn tốt hơn nên nói chuyện với anh ta trước .
私でよければ力になりますよ。,nếu không chê tôi sẽ trở thành sức mạnh của bạn .
我々の軍隊に完全に包囲されてしまって敵はとうとう降伏した。,"bị bao vây hoàn toàn bởi quân ta , kẻ địch cuối cùng cũng đã đầu hàng ."
それは、彼や他の科学者達が何を行っているのかを知りたい人たちのためのものであった。,cái đó là để cho những người muốn biết anh ta và những nhà khoa học khác đang làm gì .
あなたが駅に着くのにどのくらいかかりますか。,mất bao nhiêu thời gian để đi từ đay tới ga ?
彼女はドアを閉めて、２階にあがった。,cô ấy đóng cửa và đi lên tầng 2 .
そういうものなんです。,từ xưa đến giờ đả luôn luôn như vậy rồi .
豚は小屋にいない。,lợn không có ở trong chuồng .
いいえ、手伝いませんでした。,"không , tôi chưa hề giúp ."
トラング、もしあなたにマシュマロを送れたら、私は送るよ。,nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi .
彼女は赤い服を着ていた。,cô ấy mặc đồ đỏ .
彼が大好き！,mình rất thích anh ấy .
驚かない所をみると知ってたのね。,"anh có vẻ không bất ngờ nhỉ , chắc anh đã biết cả rồi ."
あぁまだ、宵の口だね。,đêm cũng dài quá ha ?
女王様が長生きされますように。,đức nữ hoàng muôn năm !
彼は全力を尽くしたが、すぐにあんな早いランナーには勝てないことがわかった。,anh ta đã nỗ lực hên mình nhưng ngay sau đó nhận ra mình không thể thắng người chạy đó với tốc độ nhanh như thế kia được .
私は男の姿を見た。,tôi thấy bóng dáng của một người đàn ông .
彼女がどんなに彼を喜ばそうとしても彼は喜ばなかった。,cô ấy cố làm anh ta hài lòng đến mức nào cũng không được .
私はそのような美しい女の子を一度も見たことがありませんでした。,tôi chưa từng gặp một cô bé nào xinh đẹp như vậy cả .
君の愚痴はもう聞きたくないよ。,tôi không muốn nghe thêm bất kì lời than vãn nào từ cậu nữa .
